Low,Mid,High,LowPercent,MidPercent,HighPercent,LowAverage,MidAverage,HighAverage,MaxWealth,MinWealth,Gini
153,78,19,0.612,0.312,0.076,132.90663,354.68427,261.6093,773.38544,7.0,47.12145750538185
153,77,20,0.612,0.308,0.08,135.20164,358.53647,269.6964,774.38544,9.0,46.94381702606916
151,79,20,0.604,0.316,0.08,135.75545,359.56454,275.13223,775.38544,5.0738983,46.780535248035456
157,76,17,0.628,0.304,0.068,139.65198,369.76797,272.8401,800.38544,2.9694018,46.72872755882418
150,80,20,0.6,0.32,0.08,129.35104,358.37378,261.79724,768.52045,0.0684042,48.031472068901955
150,80,20,0.6,0.32,0.08,130.22859,362.4664,266.6723,771.14246,4.1774683,47.9408077990738
153,77,20,0.612,0.308,0.08,130.5306,366.26266,255.58395,786.1627,1.1774683,48.55576931976794
159,74,17,0.636,0.296,0.068,132.12021,378.11005,256.15714,799.7782,8.0,49.34860780442251
159,75,16,0.636,0.3,0.064,136.43973,386.24094,263.62122,813.3896,11.0,48.632433847611544
166,67,17,0.664,0.268,0.068,140.04465,397.52045,271.22745,826.3896,16.0,49.42893233237556
170,67,13,0.68,0.268,0.052,140.97758,418.18286,274.87964,851.3896,11.0,50.49610971960647
173,67,10,0.692,0.268,0.04,147.71031,436.6729,277.44476,888.3896,10.0,49.76003016981122
175,64,11,0.7,0.256,0.044,148.47044,442.581,273.17905,893.87024,8.0,50.251739268715035
173,59,18,0.692,0.236,0.072,146.1775,421.10437,267.89322,866.1523,1.0,50.39926431484492
177,62,11,0.708,0.248,0.044,153.90431,458.56012,275.58673,915.1523,2.0,49.974090601564974
176,63,11,0.704,0.252,0.044,154.58655,456.1423,281.33124,925.0707,2.0698905,49.842509496571445
181,60,9,0.724,0.24,0.036,155.25298,461.2567,273.55722,933.0594,2.0,50.08909133421549
181,59,10,0.724,0.236,0.04,152.57703,456.80728,276.64737,939.3179,2.3333335,51.00991274199624
180,59,11,0.72,0.236,0.044,151.3926,452.05945,270.01804,942.3179,2.666667,51.37940352091392
179,60,11,0.716,0.24,0.044,153.31284,452.8589,272.10834,951.3363,4.5046406,50.87406932052546
180,60,10,0.72,0.24,0.04,153.75856,462.73,273.6169,970.3363,4.837974,51.17038459706965
